Brand,County,City,Model,Model Year,AccelSec,TopSpeed_KmH,Range_Km,Battery_Pack Kwh,Efficiency_WhKm,FastCharge_KmH,RapidCharge,PowerTrain,Electric Vehicle Type,BodyStyle,Segment,PriceUsd
Tesla,King,Seattle,Model 3 Long Range Dual Motor,2020,4.6,233,460,70,161,940,Yes,AWD,Battery Electric Vehicle (BEV),Sedan,D,55480
Volkswagen,King,Bothell,ID.3 Pure,2022,10,160,270,45,167,250,Yes,RWD,Plug-in Hybrid Electric Vehicle (PHEV),Hatchback,C,30000
Polestar,Yakima,Yakima,2,2023,4.7,210,400,75,181,620,Yes,AWD,Plug-in Hybrid Electric Vehicle (PHEV),Liftback,D,56440
BMW,King,Kirkland,iX3,2018,6.8,180,360,74,206,560,Yes,RWD,Battery Electric Vehicle (BEV),SUV,D,68040
Honda,Thurston,Olympia,e,2018,9.5,145,170,28.5,168,190,Yes,RWD,Plug-in Hybrid Electric Vehicle (PHEV),Hatchback,B,32997
Lucid,Snohomish,Marysville,Air,2020,2.8,250,610,110,180,620,Yes,AWD,Battery Electric Vehicle (BEV),Sedan,F,105000
Volkswagen,King,Kent,e-Golf,2017,9.6,150,190,35.8,168,220,Yes,FWD,Plug-in Hybrid Electric Vehicle (PHEV),Hatchback,C,31900
Peugeot,King,Woodinville,e-208,2020,8.1,150,275,45,164,420,Yes,FWD,Battery Electric Vehicle (BEV),Hatchback,B,29682
Tesla,Island,Coupeville,Model 3 Standard Range Plus,2018,5.6,225,310,50,153,650,Yes,RWD,Battery Electric Vehicle (BEV),Sedan,D,46380
Audi,King,Bellevue,Q4 e-tron,2023,6.3,180,400,77,193,540,Yes,AWD,Battery Electric Vehicle (BEV),SUV,D,55000
Mercedes,King,Kirkland,EQC 400 4MATIC,2018,5.1,180,370,80,216,440,Yes,AWD,Battery Electric Vehicle (BEV),SUV,D,69484
Nissan,Kitsap,Port Orchard,Leaf,2016,7.9,144,220,36,164,230,Yes,FWD,Plug-in Hybrid Electric Vehicle (PHEV),Hatchback,C,29234
Hyundai,Kitsap,Port Orchard,Kona Electric 64 kWh,2017,7.9,167,400,64,160,380,Yes,FWD,Plug-in Hybrid Electric Vehicle (PHEV),SUV,B,40795
BMW,Snohomish,Mukilteo,i4,2019,4,200,450,80,178,650,Yes,RWD,Battery Electric Vehicle (BEV),Sedan,D,65000
Hyundai,King,Redmond,IONIQ Electric,2019,9.7,165,250,38.3,153,210,Yes,FWD,Battery Electric Vehicle (BEV),Liftback,C,34459
Volkswagen,Thurston,Rochester,ID.3 Pro S,2013,7.9,160,440,77,175,590,Yes,RWD,Plug-in Hybrid Electric Vehicle (PHEV),Hatchback,C,40936
Porsche,King,Seattle,Taycan Turbo S,2019,2.8,260,375,83.7,223,780,Yes,AWD,Battery Electric Vehicle (BEV),Sedan,F,180781
Volkswagen,King,Seattle,e-Up!,2015,11.9,130,195,36.8,166,170,Yes,FWD,Battery Electric Vehicle (BEV),Hatchback,A,21421
MG,Kitsap,Bremerton,ZS EV,2019,8.2,140,220,42.5,193,260,Yes,FWD,Plug-in Hybrid Electric Vehicle (PHEV),SUV,B,30000
Mini,Kitsap,Poulsbo,Cooper SE,2014,7.3,150,185,28.9,156,260,Yes,FWD,Battery Electric Vehicle (BEV),Hatchback,B,31681
Opel,King,Kent,Corsa-e,2018,8.1,150,275,45,164,420,Yes,FWD,Plug-in Hybrid Electric Vehicle (PHEV),Hatchback,B,29146
Tesla,Snohomish,Marysville,Model Y Long Range Dual Motor,2018,5.1,217,425,72.5,171,930,Yes,AWD,Battery Electric Vehicle (BEV),SUV,D,58620
Skoda,Kitsap,Bremerton,Enyaq iV 50,2013,10,160,290,52,179,230,Yes,RWD,Plug-in Hybrid Electric Vehicle (PHEV),SUV,C,35000
Audi,King,Seattle,e-tron GT,2014,3.5,240,425,85,197,850,Yes,AWD,Battery Electric Vehicle (BEV),Sedan,F,125000
Tesla,Snohomish,Lake Stevens,Model 3 Long Range Performance,2017,3.4,261,435,70,167,910,Yes,AWD,Plug-in Hybrid Electric Vehicle (PHEV),Sedan,D,61480
Volkswagen,Kitsap,Silverdale,ID.4,2020,7.5,160,420,77,183,560,Yes,RWD,Battery Electric Vehicle (BEV),SUV,C,45000
Volkswagen,King,Kirkland,ID.3 Pro,2018,9,160,350,58,166,490,Yes,RWD,Battery Electric Vehicle (BEV),Hatchback,C,33000
Volvo,Kitsap,Kingston,XC40 P8 AWD Recharge,2016,4.9,180,375,75,200,470,Yes,AWD,Plug-in Hybrid Electric Vehicle (PHEV),SUV,C,60437
BMW,King,Kirkland,i3 120 Ah,2019,7.3,150,235,37.9,161,270,Yes,RWD,Battery Electric Vehicle (BEV),Hatchback,B,38017
Peugeot,Kitsap,Kingston,e-2008 SUV,2020,8.5,150,250,45,180,380,Yes,FWD,Battery Electric Vehicle (BEV),SUV,B,34361
Audi,Thurston,Olympia,e-tron 50 quattro,2015,6.8,190,280,77,231,450,Yes,AWD,Battery Electric Vehicle (BEV),SUV,E,67358
Kia,Yakima,Yakima,e-Niro 64 kWh,2021,7.8,167,370,64,173,350,Yes,FWD,Battery Electric Vehicle (BEV),SUV,C,38105
Renault,King,Enumclaw,Zoe ZE50 R110,2019,11.4,135,315,52,165,230,Yes,FWD,Battery Electric Vehicle (BEV),Hatchback,B,31184
Tesla,King,Seattle,Cybertruck Tri Motor,2015,3,210,750,200,267,710,Yes,AWD,Battery Electric Vehicle (BEV),Pickup,N,75000
Mazda,King,Bellevue,MX-30,2023,9,150,180,30,178,240,Yes,FWD,Battery Electric Vehicle (BEV),SUV,C,32646
Nissan,King,Seattle,Leaf e+,2011,7.3,157,325,56,172,390,Yes,FWD,Battery Electric Vehicle (BEV),Hatchback,C,37237
Lexus,King,Auburn,UX 300e,2016,7.5,160,270,50,193,190,Yes,FWD,Battery Electric Vehicle (BEV),SUV,C,50000
CUPRA,Yakima,Moxee,el-Born,2020,6.5,160,425,77,181,570,Yes,RWD,Battery Electric Vehicle (BEV),Hatchback,C,45000
Renault,King,Seattle,Zoe ZE50 R135,2023,9.5,140,310,52,168,230,Yes,FWD,Battery Electric Vehicle (BEV),Hatchback,B,33133
Mercedes,Yakima,Tieton,EQA,2022,5,200,350,66.5,171,440,Yes,AWD,Battery Electric Vehicle (BEV),SUV,C,45000
Tesla,Kitsap,Silverdale,Model S Long Range,2013,3.8,250,515,90,184,560,Yes,AWD,Battery Electric Vehicle (BEV),Liftback,F,79990
Hyundai,Kitsap,Port Orchard,Kona Electric 39 kWh,2023,9.9,155,255,39,154,210,Yes,FWD,Plug-in Hybrid Electric Vehicle (PHEV),SUV,B,33971
Audi,King,Renton,e-tron Sportback 55 quattro,2019,5.7,200,380,86.5,228,610,Yes,AWD,Battery Electric Vehicle (BEV),SUV,E,81639
Skoda,King,Bellevue,CITIGOe iV,2017,12.3,130,195,36.8,166,170,Yes,FWD,Plug-in Hybrid Electric Vehicle (PHEV),Hatchback,A,24534
SEAT,King,Tukwila,Mii Electric,2023,12.3,130,195,32.3,166,170,Yes,FWD,Plug-in Hybrid Electric Vehicle (PHEV),Hatchback,A,20129
Kia,King,Seatac,E -Soul 64 kWh,2019,7.9,167,365,64,175,340,Yes,FWD,Battery Electric Vehicle (BEV),SUV,B,36837
